Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1971,3.9,4.1,4.4,6.8,10.3,11.1,15.2,14.2,13.2,10.4,5.3,6,8.78
1972,3.1,3.5,5.5,7.3,9.4,10.5,14.2,13.6,10.7,9.7,5.2,4.9,8.15
1973,3.9,3.4,5.5,5.9,9.9,13.4,14.3,14.9,12.8,8.3,5.1,4,8.5
1974,5,4.6,4.7,7.2,9.8,12.3,13.5,13.8,10.7,6.9,5.6,6.5,8.39
1975,5.3,4,3.9,7.1,8.6,13.1,15.5,16.8,11.8,9.3,5.4,4.7,8.82
1976,4.5,3.8,4,7.1,10.4,15,16.5,15.8,12,9.4,5.3,1.4,8.77
1977,1.9,3.6,5.8,6,9.2,11.2,14.6,13.9,11.7,10.7,5.1,5.2,8.28
1978,2.3,1.4,5.5,5.4,10.5,12.3,13.3,13.7,12.6,10.8,7.3,3.3,8.25
1979,-0.5,0.6,3.3,6.4,8.4,12.7,14.4,13.4,11.9,10.2,5.6,4.5,7.62
1980,1.8,4.6,3.7,7.7,10,12.6,13.3,14.4,13.3,7.8,5.5,4.7,8.29
1981,3.8,2.6,6.3,6.8,10.3,12,14.1,14.9,13.2,6.9,6.5,0.1,8.15
1982,2.3,4.3,5.1,7.7,10.2,13.7,15.1,14.4,12.7,9.2,6.5,3.5,8.73
1983,5.4,1.4,5.6,5.6,8.9,12.8,17.3,16,12.2,9.2,6.7,5.1,8.9
1984,2.3,3.2,3.9,7.3,9,13.1,15.3,15.9,12.1,9.7,6.8,4.7,8.63
1985,0.4,2.2,3.8,7.2,9.6,11.4,14.5,13.2,12.9,10,3.1,5.2,7.83
1986,2.5,-1.2,4.3,4.8,9.8,13.3,14.2,12.2,10.4,9.7,6.7,4.8,7.69
1987,0.7,3,3.3,8.8,9,11.3,14.6,14.2,12.2,8.4,5.8,4.9,8.05
1988,4.1,3.9,5.1,7.1,10.5,13.4,13.5,13.9,12.1,9.4,5.1,6.6,8.76
1989,5.8,4.9,6,5.5,11.5,13,16.5,14.8,12.9,10.5,5.8,3.8,9.28
1990,5.5,5.9,7.2,7.1,11.4,12.4,15.2,16.1,11.7,10.5,5.8,3.8,9.41
1991,2.6,1.4,6.7,6.9,10,10.9,15.9,15.7,13.1,9,5.7,4.4,8.58
1992,3.6,4.8,6.1,7.4,12,14.4,14.6,13.8,11.9,6.7,6.1,3.2,8.73
1993,4.7,4.7,5.6,8.2,10,13.4,13.7,13.1,11.2,7.3,4.1,3.9,8.35
1994,4,2.4,5.9,6.8,9.3,12.7,16,14.3,11.4,9,8.8,5.4,8.88
1995,3.5,4.9,4.2,7.6,10.2,12.9,16.6,17.3,12.4,11.6,6.9,1.7,9.17
1996,3.9,2,3.7,7.4,8,12.9,14.7,15.1,12.6,10.3,4.7,2.5,8.16
1997,2.2,5.2,7.1,7.9,10.2,12.6,15.3,17.1,12.7,9.2,7.7,5.2,9.4
1998,4.3,6.8,6.7,6.6,11.5,12.6,14,14.4,13.4,9,5.2,4.9,9.14
1999,4.5,4.2,6.2,8.3,11.4,12.4,15.9,14.8,14.2,9.8,6.8,3.6,9.36
2000,4.3,5,6.5,6.7,10.8,13.1,14.1,15.2,13.4,9.2,5.8,4.6,9.09
